date,month,year,axis,origin,destination,number_of_trains_scheduled,number_of_train_canceled,trains_late_at_destination,number_of_trains_actual,percentage_trains_canceled,reliability,line
2018-01,1,2018,Intercites,paris,boulogne,152.0,5.0,21.0,147.0,3.29,85.7,paris:boulogne
2018-01,1,2018,Intercites,nantes,lyon,65.0,3.0,6.0,62.0,4.62,90.3,nantes:lyon
2018-01,1,2018,Intercites,toulouse,paris,29.0,0.0,3.0,29.0,0.0,89.7,toulouse:paris
2018-02,2,2018,Intercites,amiens,paris,218.0,5.0,48.0,213.0,2.29,77.5,amiens:paris
2018-02,2,2018,Intercites,trouville-deauville,paris,53.0,2.0,10.0,51.0,3.77,80.4,trouville-deauville:paris
2018-02,2,2018,Intercites,paris,trouville-deauville,52.0,1.0,18.0,51.0,1.92,64.7,paris:trouville-deauville
2018-02,2,2018,Intercites,paris,boulogne,124.0,5.0,19.0,119.0,4.03,84.0,paris:boulogne
2018-02,2,2018,Intercites,cherbourg,paris,157.0,2.0,36.0,155.0,1.27,76.8,cherbourg:paris
2018-02,2,2018,Intercites,granville,paris,155.0,1.0,15.0,154.0,0.65,90.3,granville:paris
2018-02,2,2018,Intercites,paris,clermont-ferrand,211.0,1.0,25.0,210.0,0.47,88.1,paris:clermont-ferrand
2018-02,2,2018,Intercites,beziers,clermont-ferrand,56.0,0.0,3.0,56.0,0.0,94.6,beziers:clermont-ferrand
2018-02,2,2018,Intercites,nantes,lyon,56.0,0.0,12.0,56.0,0.0,78.6,nantes:lyon
2018-02,2,2018,Intercites,marseille-st-charles,bordeaux-st-jean,215.0,12.0,65.0,203.0,5.58,68.0,marseille-st-charles:bordeaux-st-jean
2018-02,2,2018,Intercites,albi,paris,7.0,1.0,4.0,6.0,14.29,33.3,albi:paris
2018-02,2,2018,Intercites,paris,latour-de-carol,28.0,8.0,9.0,20.0,28.57,55.0,paris:latour-de-carol
2018-03,3,2018,Intercites,paris,trouville-deauville,82.0,1.0,19.0,81.0,1.22,76.5,paris:trouville-deauville
2018-03,3,2018,Intercites,paris,cherbourg,201.0,2.0,36.0,199.0,1.0,81.9,paris:cherbourg
2018-03,3,2018,Intercites,lyon,nantes,52.0,1.0,2.0,51.0,1.92,96.1,lyon:nantes
2018-03,3,2018,Intercites,paris,brive,236.0,1.0,13.0,235.0,0.42,94.5,paris:brive
2018-03,3,2018,Intercites,paris,toulouse,44.0,4.0,5.0,40.0,9.09,87.5,paris:toulouse
2018-03,3,2018,Intercites,toulouse,paris,40.0,3.0,8.0,37.0,7.5,78.4,toulouse:paris
2018-03,3,2018,Intercites,paris,toulouse,27.0,0.0,3.0,27.0,0.0,88.9,paris:toulouse
2018-03,3,2018,Intercites,briancon,paris,27.0,0.0,3.0,27.0,0.0,88.9,briancon:paris
2018-04,4,2018,Intercites,paris,amiens,130.0,1.0,35.0,129.0,0.77,72.9,paris:amiens
2018-04,4,2018,Intercites,paris,st-quentin,74.0,1.0,9.0,73.0,1.35,87.7,paris:st-quentin
