ID;Date;Axe;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard;empty
INT_22_A;2014-01;Nord-Normandie;PARIS-ST-LAZARE;CHERBOURG;173;172;1;14;91.9;11.3;PARIS-ST-LAZARE:CHERBOURG
INT_35_A;2014-01;Nord-Normandie;LE-HAVRE;PARIS-ST-LAZARE;364;360;4;33;90.8;9.9;LE-HAVRE:PARIS-ST-LAZARE
INT_16_A;2014-01;Nord-Normandie;MAUBEUGE;PARIS-NORD;306;305;1;18;94.1;15.9;MAUBEUGE:PARIS-NORD
INT_5_A;2014-01;Nord-Normandie;CAEN;PARIS-ST-LAZARE;193;193;0;20;89.6;8.7;CAEN:PARIS-ST-LAZARE
INT_3_A;2014-01;Centre Sud-Ouest;ORLÉANS;PARIS-AUSTERLITZ;355;354;1;40;88.7;7.8;ORLÉANS:PARIS-AUSTERLITZ
INT_44_B;2014-01;Centre Sud-Ouest;PARIS-AUSTERLITZ;CERBERE;317;314;3;20;93.6;14.7;PARIS-AUSTERLITZ:CERBERE
INT_5_B;2014-01;Centre Sud-Ouest;TOURS;PARIS-AUSTERLITZ;124;124;0;16;87.1;6.8;TOURS:PARIS-AUSTERLITZ
INT_2_B;2014-02;Est Centre;BELFORT;PARIS-EST;114;111;3;11;90.1;9.1;BELFORT:PARIS-EST
INT_1_A;2014-02;Nord-Normandie;AMIENS;PARIS-NORD;200;198;2;35;82.3;4.7;AMIENS:PARIS-NORD
INT_22_A;2014-02;Nord-Normandie;PARIS-ST-LAZARE;CHERBOURG;161;156;5;20;87.2;6.8;PARIS-ST-LAZARE:CHERBOURG
INT_8_B;2014-02;Nord-Normandie;GRANVILLE;PARIS-VAUGIRARD;149;148;1;11;92.6;12.5;GRANVILLE:PARIS-VAUGIRARD
INT_14_B;2014-02;Nord-Normandie;PARIS-VAUGIRARD;GRANVILLE;148;148;0;12;91.9;11.3;PARIS-VAUGIRARD:GRANVILLE
INT_35_B;2014-02;Nord-Normandie;PARIS-ST-LAZARE;LE-HAVRE;326;326;0;37;88.7;7.8;PARIS-ST-LAZARE:LE-HAVRE
